Index	ID	Country	Latitude	Longitude	Age
1	Ne30_genotyping_noUDG	China	45.96	126.23	9896
2	Ne61_genotyping_noUDG	China	45.88	126.22	3421
3	Ne35_genotyping_noUDG	China	45.91	125.95	8990
4	I17622	Albania	40.295	19.49027778	3050
5	I13833	Albania	40.625278	20.801111	325
6	I3931	Armenia	40.10093333	44.29051667	7858
7	I3930	Armenia	40.15151667	44.70435	7535
8	I13559	Bahamas	24.1	-77.55	750
9	I24542_d	Belize	16.497398	-88.90496	4725
10	I19493_in.preparation	Bulgaria	41.73	26.33	2750
11	I19479_in.preparation	Bulgaria	42.62	25.41	2025
12	CAO009013	Cuba	23.038	-81.497	1329
13	I16326	Czech Republic	50.291389	14.045556	2625
14	I8122	Dominican Republic	18.447	-69.187	1150
15	I14200	United Kingdom	51.168023	-1.7725402	4328
16	I2446	United Kingdom	51.7977	-1.313464	4215
17	I19043_old	United Kingdom	51.07	-1.29	2200
18	I30333	United Kingdom	51.861211	-1.883011	5748
19	I3587	Germany	48.8833	12.5332	4175
20	I13433	Greece	38.399083	22.575	3200
21	I13531	Greece	38.399083	22.575	3200
22	I13580	Greece	38.399083	22.575	3169
23	I7527	Iran	34.45	48.116	9900
24	I6441_d	Iraq	36.716667	42.85	3300
25	I6445	Iraq	36.716667	42.85	10700
26	I6441	Iraq	36.716667	42.85	3300
27	I2189	Israel	32.58472222	35.01694444	3500
28	I1072_enhanced_d	Israel	32.65	35.067	12700
29	I1072_d	Israel	32.65	35.067	12700
30	I1072	Israel	32.65	35.067	12700
31	I1415_enhanced	Jordan	31.988	35.976	9827
32	I1701_enhanced	Jordan	31.988	35.976	9600
33	I1707	Jordan	31.988	35.976	9569
34	I1709_enhanced	Jordan	31.988	35.976	10050
35	I1710	Jordan	31.988	35.976	9565
36	I1704	Jordan	31.988	35.976	9159
37	I1727	Jordan	31.988	35.976	10050
38	I1415	Jordan	31.988	35.976	9827
39	I1701	Jordan	31.988	35.976	9600
40	I1709	Jordan	31.988	35.976	10050
41	I1679_enhanced	Jordan	31.988	35.976	8800
42	I1699	Jordan	31.988	35.976	8700
43	I1708	Jordan	31.988	35.976	8700
44	I1679	Jordan	31.988	35.976	8800
45	I4427	Malawi	-10.786153	33.765371	6009
46	I4427_noUDG	Malawi	-10.786153	33.765371	6009
47	I13778	Montenegro	42.366667	18.733333	3234
48	I0231	Russia	53.08561111	49.46591111	4844
